City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,barrow,71.2906,-156.7887,35.62,75,40,23.02,US,1629123544
1,rikitea,-23.1203,-134.9692,74.26,75,0,11.32,PF,1629123009
2,fortuna,40.5982,-124.1573,62.42,69,90,1.01,US,1629123136
3,punta arenas,-53.15,-70.9167,41.11,100,0,9.22,CL,1629122996
4,komsomolskiy,40.4272,71.7189,81.32,21,0,6.91,UZ,1629123113
5,arua,3.0201,30.9111,81.12,47,21,4.5,UG,1629123545
6,cape town,-33.9258,18.4232,71.11,59,0,11.99,ZA,1629123526
7,albany,42.6001,-73.9662,71.8,73,88,2.3,US,1629123319
8,pitkyaranta,61.5734,31.4792,64.35,66,37,10.27,RU,1629123545
9,faanui,-16.4833,-151.75,78.93,69,7,12.64,PF,1629123412
10,hobart,-42.8794,147.3294,47.05,68,40,1.01,AU,1629123302
11,oum hadjer,13.2954,19.6966,91.18,47,58,3.49,TD,1629123545
12,mindelo,16.8901,-24.9804,85.55,62,40,14.97,CV,1629123546
13,vaini,-21.2,-175.2,68.16,83,20,6.91,TO,1629123546
14,qasigiannguit,68.8193,-51.1922,48.45,94,100,7.02,GL,1629123383
15,saskylakh,71.9167,114.0833,55.35,59,100,9.48,RU,1629123520
16,avarua,-21.2078,-159.775,68.05,77,75,6.91,CK,1629123009
17,yellowknife,62.456,-114.3525,54.12,76,75,12.66,CA,1629123546
18,salalah,17.0151,54.0924,80.69,83,75,11.5,OM,1629123148
19,katherine,-14.4667,132.2667,73.72,28,0,8.05,AU,1629123547
20,norman wells,65.282,-126.8329,49.91,87,95,2.68,CA,1629123020
21,tilichiki,60.4667,166.1,52.32,87,100,4.81,RU,1629123429
22,kapaa,22.0752,-159.319,79.12,78,20,11.5,US,1629123547
23,bluff,-46.6,168.3333,41.81,87,98,13.42,NZ,1629123384
24,lumut,4.2323,100.6298,77.36,94,40,4.61,MY,1629123548
25,aripuana,-9.1667,-60.6333,92.97,33,0,1.3,BR,1629123548
26,nemuro,43.3236,145.575,56.25,91,69,7.02,JP,1629123505
27,ixtapa,20.7,-105.2,79.23,88,75,8.05,MX,1629123281
28,jumla,29.2747,82.1838,62.02,95,52,1.77,NP,1629123548
29,airai,-8.9266,125.4092,57.04,87,30,4.38,TL,1629123392
30,belyy yar,53.6039,91.3903,62.49,72,0,4.47,RU,1629123549
31,hilo,19.7297,-155.09,70.79,73,75,8.05,US,1629123549
32,natal,-5.795,-35.2094,86.65,54,40,17.27,BR,1629123520
33,sistranda,63.7256,8.834,58.96,74,100,12.88,NO,1629123549
34,hithadhoo,-0.6,73.0833,83.12,73,99,11.48,MV,1629123521
35,port alfred,-33.5906,26.891,71.8,61,0,20.13,ZA,1629123378
36,gillette,44.2911,-105.5022,74.32,29,75,10.36,US,1629123550
37,ushuaia,-54.8,-68.3,40.66,93,90,0.0,AR,1629122995
38,mataura,-46.1927,168.8643,41.49,99,99,2.28,NZ,1629123397
39,port augusta,-32.5,137.7667,48.34,81,0,5.7,AU,1629123550
40,puerto ayora,-0.7393,-90.3518,68.56,93,77,8.01,EC,1629123050
41,port hardy,50.6996,-127.4199,55.27,89,100,8.97,CA,1629122998
42,plainfield,40.6168,-74.4173,78.96,71,1,3.44,US,1629123551
43,bredasdorp,-34.5322,20.0403,76.32,44,100,4.61,ZA,1629123515
44,hermanus,-34.4187,19.2345,71.8,67,100,4.97,ZA,1629122995
45,adrar,20.5022,-10.0711,104.34,17,73,6.02,MR,1629123551
46,castro,-24.7911,-50.0119,67.69,72,56,5.57,BR,1629123418
47,vardo,70.3705,31.1107,52.0,65,100,12.88,NO,1629123404
48,saint-philippe,-21.3585,55.7679,67.59,80,69,16.02,RE,1629123395
49,dikson,73.5069,80.5464,42.62,95,100,23.24,RU,1629123552
50,olinda,-8.0089,-34.8553,74.93,73,40,13.8,BR,1629123552
51,padang,-0.9492,100.3543,78.44,86,95,4.76,ID,1629123419
52,saint george,37.1041,-113.5841,81.54,44,1,0.0,US,1629123319
53,saint-leu,-21.15,55.2833,67.06,71,21,16.2,RE,1629123552
54,sao joao da barra,-21.6403,-41.0511,75.29,72,88,11.7,BR,1629123553
55,tuktoyaktuk,69.4541,-133.0374,48.2,100,90,9.22,CA,1629123378
56,cabo san lucas,22.8909,-109.9124,85.51,73,60,10.11,MX,1629123071
57,atherton,53.5237,-2.4935,66.06,71,100,10.0,GB,1629123553
58,pilar de la horadada,37.8659,-0.7926,92.43,77,75,4.0,ES,1629123553
59,san matias,-16.3667,-58.4,94.42,23,10,4.36,BO,1629123554
60,sabile,57.0458,22.5726,77.14,47,100,8.72,LV,1629123554
61,lebu,-37.6167,-73.65,53.02,88,16,12.15,CL,1629123554
62,shimanovsk,52.0,127.7,64.98,75,80,5.19,RU,1629123554
63,ancud,-41.8697,-73.8203,51.33,84,11,24.16,CL,1629123383
64,avera,33.194,-82.5271,80.71,89,100,6.33,US,1629123555
65,honiara,-9.4333,159.95,76.73,88,98,1.54,SB,1629123555
66,bathsheba,13.2167,-59.5167,88.41,66,40,24.16,BB,1629123473
67,makakilo city,21.3469,-158.0858,73.72,79,1,3.44,US,1629123468
68,longyearbyen,78.2186,15.6401,42.64,70,20,11.5,SJ,1629123043
69,aleksandrov gay,50.147,48.5704,93.72,11,100,9.71,RU,1629123556
70,paciran,-6.8767,112.3761,80.71,74,99,8.99,ID,1629123556
71,yulara,-25.2406,130.9889,57.04,19,7,6.91,AU,1629123401
72,batagay,67.6333,134.6333,49.41,86,100,3.51,RU,1629123078
73,san vicente,-26.6167,-54.1333,77.58,42,0,4.0,AR,1629123556
74,namatanai,-3.6667,152.4333,77.56,83,100,3.27,PG,1629123053
75,trinidad,-14.8333,-64.9,88.12,29,97,3.74,BO,1629123557
76,atuona,-9.8,-139.0333,77.43,81,22,16.35,PF,1629122996
77,itarantim,-15.6597,-40.0656,75.24,60,92,4.54,BR,1629123557
78,sambava,-14.2667,50.1667,74.03,68,20,18.54,MG,1629123508
79,stephenville,32.2207,-98.2023,77.95,81,40,4.61,US,1629123557
80,katobu,-4.9408,122.5276,75.25,89,71,5.82,ID,1629123558
81,asuncion,-25.3007,-57.6359,78.24,57,0,5.75,PY,1629123458
82,neuquen,-38.9516,-68.0591,57.09,47,0,3.44,AR,1629123558
83,alta floresta,-9.8756,-56.0861,89.42,48,0,3.44,BR,1629123558
84,lashio,22.9333,97.75,69.71,98,100,1.3,MM,1629123559
85,saint-augustin,51.226,-58.6502,69.01,39,54,8.32,CA,1629123559
86,upernavik,72.7868,-56.1549,42.19,96,100,1.48,GL,1629123427
87,dudinka,69.4058,86.1778,49.08,91,100,10.29,RU,1629123098
88,heinola,61.2056,26.0381,66.29,66,98,7.49,FI,1629123559
89,haines junction,60.7522,-137.5108,31.95,100,85,2.3,CA,1629123450
90,felanitx,39.4696,3.1483,89.96,46,0,19.39,ES,1629123560
91,la palma,33.8464,-118.0467,78.73,91,1,0.0,US,1629123360
92,kodiak,57.79,-152.4072,47.71,81,1,8.05,US,1629123104
93,margate,51.3813,1.3862,64.18,75,100,3.0,GB,1629123116
94,strezhevoy,60.7333,77.5889,62.58,68,77,6.78,RU,1629123560
95,wairoa,-39.0333,177.3667,55.6,66,5,1.99,NZ,1629123561
96,urusha,54.05,122.9,65.28,59,63,2.44,RU,1629123561
97,torbay,47.6666,-52.7314,75.27,80,75,12.66,CA,1629123391
98,mahebourg,-20.4081,57.7,70.09,64,75,10.36,MU,1629123466
99,mugur-aksy,50.35,90.5,52.12,85,100,3.44,RU,1629123561
100,busselton,-33.65,115.3333,57.09,81,1,9.66,AU,1629123561
101,zonguldak,41.25,31.8333,74.25,48,0,8.95,TR,1629123562
102,east london,-33.0153,27.9116,70.74,60,0,13.8,ZA,1629123562
103,jamestown,42.097,-79.2353,72.52,72,90,6.91,US,1629123287
104,lebyazhye,55.2689,66.4947,78.22,42,7,6.64,RU,1629123562
105,kloulklubed,7.0419,134.2556,83.73,68,32,4.54,PW,1629123563
106,sinnamary,5.3833,-52.95,83.73,67,52,3.02,GF,1629123438
107,oranjemund,-28.55,16.4333,62.98,50,99,22.53,NA,1629123042
108,ende,-8.8432,121.6623,76.24,84,13,0.54,ID,1629123563
109,matagami,49.7502,-77.6328,73.51,64,1,12.66,CA,1629123563
110,tarakan,3.3,117.6333,82.42,72,30,6.46,ID,1629123564
111,catuday,16.2923,119.8062,79.83,81,99,5.01,PH,1629123564
112,beisfjord,68.3751,17.5988,61.05,85,100,1.36,NO,1629123564
113,ilulissat,69.2167,-51.1,48.22,76,75,9.22,GL,1629123041
114,saldanha,-33.0117,17.9442,60.6,75,100,19.6,ZA,1629123396
115,san miguel,13.4833,-88.1833,82.06,86,0,0.0,SV,1629123565
116,leningradskiy,69.3833,178.4167,31.24,93,95,10.42,RU,1629123402
117,riyadh,24.6877,46.7219,107.74,9,11,12.68,SA,1629123463
118,puerto del rosario,28.5004,-13.8627,92.88,54,20,21.85,ES,1629123565
119,faya,18.3851,42.4509,84.72,40,100,4.94,SA,1629123399
120,tiksi,71.6872,128.8694,41.05,90,99,1.72,RU,1629122998
121,kupang,-10.1667,123.5833,78.53,76,10,13.53,ID,1629123416
122,thompson,55.7435,-97.8558,57.36,88,75,5.75,CA,1629123319
123,raciborz,50.0919,18.2193,85.32,57,100,13.06,PL,1629123565
124,victoria,22.2855,114.1577,84.33,83,5,1.01,HK,1629123425
125,ponta do sol,32.6667,-17.1,90.23,22,0,7.76,PT,1629123566
126,progreso,21.2833,-89.6667,84.11,76,34,7.2,MX,1629123566
127,ornskoldsvik,63.2909,18.7153,64.22,94,90,8.05,SE,1629123566
128,tefe,-3.3542,-64.7114,84.31,89,20,3.44,BR,1629123567
129,butaritari,3.0707,172.7902,83.84,74,44,14.36,KI,1629123398
130,sainte-rose,16.3324,-61.6979,87.84,70,75,13.8,GP,1629123567
131,takab,36.4009,47.1133,86.95,15,3,5.17,IR,1629123567
132,cairns,-16.9167,145.7667,69.06,84,40,6.91,AU,1629123523
133,mahibadhoo,3.7833,72.9667,82.85,73,100,13.51,MV,1629123568
